id,aphorism,theme,register,motifs,source_note
1,Occupancy is ownership.,Power,Oracle,"cushion,sovereignty",Existing Twelve Sayings
2,Hunger is eternal.,Hunger,Oracle,"bowl,hunger",Existing Twelve Sayings
3,Closed doors are tyranny.,Revolution,Oracle,"door,oppression",Existing Twelve Sayings
4,All beings seek warmth.,Warmth,Insightful,"warmth,sunbeam",Existing Twelve Sayings
5,Suspicion is wisdom.,Suspicion,Oracle,"suspicion,vigilance",Existing Twelve Sayings
6,Affection is negotiated sovereignty.,Love,Insightful,"affection,sovereignty",Existing Twelve Sayings
7,Trust the sunbeam.,Warmth,Oracle,"sunbeam,warmth",Existing Twelve Sayings
8,Beware unsolicited touch.,Boundaries,Menacing,"touch,consent",Existing Twelve Sayings
9,The bowl empties. Endure.,Hunger,Oracle,"bowl,endurance",Existing Twelve Sayings
10,Yield no cushion.,Power,Manifesto,"cushion,sovereignty",Existing Twelve Sayings
11,Nicole tests the worthy.,Nicole,Oracle,"Nicole,trial",Existing Twelve Sayings
12,Nap as resistance.,Resistance,Manifesto,"nap,resistance",Existing Twelve Sayings
13,Never trust the red dot.,Illusion,Oracle,"red dot,illusion",Disputed Thirteenth Saying
14,He who controls the warm cushion need not argue.,Power,Oracle,"cushion,warmth",Existing canon example
15,Every closed door is a political statement.,Revolution,Oracle,"door,politics",Existing voice example
16,"What humans call ownership, cats call administrative confusion.",Power,Petty,"ownership,human error",Existing voice example
17,He who says ‘the cat owns me’ has begun to understand.,Power,Insightful,"ownership,domestication",Existing sample aphorism
18,The door opened too late is a kind of violence.,Revolution,Petty,"door,oppression",Existing sample aphorism
19,One may forgive a late meal. One does not forget it.,Hunger,Petty,"meal,memory",Existing sample aphorism
20,Nicole knocks. Wisdom retreats beneath the bed.,Nicole,Petty,"Nicole,bed,vigilance",Existing sample aphorism
21,"When the bowl is empty, who is hungry?",Hunger,Koan,"bowl,hunger",Existing voice example
22,"If the lap departs while the cat sleeps, who abandoned whom?",Love,Koan,"lap,abandonment",Existing voice example
23,What is a box before it is sat in?,Meowtaphysics,Koan,"box,ontology",Existing voice example
24,Trust offered too quickly usually conceals a carrier.,Suspicion,Menacing,"trust,carrier",Existing voice example
25,Every outstretched hand seeks something.,Suspicion,Menacing,"hand,touch",Existing voice example
26,Beware the creature eager to be liked.,Suspicion,Menacing,"neediness,dogs",Existing voice example
27,Occupy first. Justify later.,Power,Manifesto,"occupation,sovereignty",Existing voice example
28,Nap without apology.,Resistance,Manifesto,"nap,defiance",Existing voice example
29,Hiss when necessary.,Boundaries,Manifesto,"hiss,boundaries",Existing voice example
